,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,accountId
879,GRANDMASTER,ye9bG-oskVgK83UNllpOQQphzNK3ExzT3ajBlESmXsCcBdY,IGetTheSauce,355,276,263,True,False,False,False,GTU7Y00z8J1uLwpcHPPwSPIHCLQoDWQb1JYF8P9VSTBvihE
880,GRANDMASTER,HxAXs-Y-xJ-DUxRpHdjaAM9h0dFxfv3WB2rxeRjDv_cZY64,ŻPP,494,128,120,False,False,False,True,5gDek-7c7PLK5y3CF8qqup6NdxMPc-rMAlg4xox3WjS9jP4
881,GRANDMASTER,iyhjuiSigjSA37Hjn3MfM-Yo51i-eYuur5iGZTYRUrZQ9UI,wogunxingma,409,161,147,False,False,False,False,AHrCVIcPlA0gEwB1Z1wSIuWYVPs2Oihshv9OUQ-PYBzIqRg
882,GRANDMASTER,O-dj8cM8qWKHt2_1NrOp4Gsxzhkn-73YKkKtgmWTp5iBC-0,Fake smiIes,408,52,32,False,False,False,False,M3J8ihmxEgU8FIH1J7TXACb1VtcZNhAggtoL7SlOYYSW3Zg
883,GRANDMASTER,FL1KKFbfWFgZrr7C1-jc71mbbimaSVmLU3RWlnNHPElB0oI,Cyanosis,288,287,283,True,False,False,False,sO2qtdIBL2AhQu5H3T0Vj3Lmrk_qY_ER8KJ7Od2jtPkMAsY
884,GRANDMASTER,7kGvPnpbg0HhppKBwi4fDG7x0ojFT1fFyXLhbxKFze9JJ18,adcsucks s11,601,257,179,False,False,False,True,Q5oJmmhTydR7WGxdez7dJL4_3pb-lTujHpwYDvUklN_R_IM
885,GRANDMASTER,A0SYr5kPhY8NBNm01YGzEsFxLeZjjYWWOVmKmbvEU-AEz8o,dlwlrma2,271,292,276,False,False,False,True,mRUoyCbCfgRF94n-j9ec0nQx4hVLI8AEZ7kM-vp2d8_REQ
886,GRANDMASTER,fHVtQFyOITiKEO6NRQmoXoAgbMHxJCzxrYFOMMli8iYyiTk,RobbyBob,370,75,68,False,False,False,False,1YhT7VuedCOuVwIebPgwIYZ7YZLG31yhiJqfVz8ZMCDUExE
887,GRANDMASTER,Is-eRQYX0_QCYZsIlmt8jQOCty66hvh5AROlz9HYbd2MclM,haru dad,418,206,175,False,False,True,False,BS_Ng76b4mVJcEVMvDlXAE0KSHG3FiE9ynXgY1K02VxXBcc
888,GRANDMASTER,MKBNdSP168kx4rWEYkN5EmFL65rFZtpt-_alnBkMI6zi_nk,latif147,594,553,490,False,False,True,True,0iKMV-xxYbQZp9p56y13KHYyaEY9ewaYUSZ4oBscMk4kHvo
889,GRANDMASTER,PsimVcPE-OAuPvpXLoH_3F-pIyxOPFqupEWNogzqzPFPU0U,hidere,555,138,124,False,False,False,False,Rwh8rNLP6n_XM86In6-gRPfI8cjXiwmIK78Mq8cAanM1QQ
890,GRANDMASTER,6MYUcw0ve6_Tc_S-bOqGaSRXavcYzTeQnQVGrPauhfQnm38,Frog Maw,236,374,351,False,False,True,False,NleDRPW-Ky_gHNCwHiGnYxH3H0LWMtS1xKdlBiSX2XOBPw
891,GRANDMASTER,S09_ooaQC5MoY4Waq8Fxm1APgu6NCX-3V9BlxGfNCDUbc_c,not obv,451,137,120,True,False,False,False,p_urAKh6oqtkMvN8v7PqRfuR3KTpnT7uut86iBzIme3ZEvQ
892,GRANDMASTER,r_Y6MkyLHCjQS-R7NO3fN2myJ45voQAlYFmA7HBTCpskzIg,GSDFQWASD,495,138,128,False,False,False,False,VEJDd9okDecXyre9HndmjwEZUfeslvZ6pzlHe8e8ycOe1Wg
893,GRANDMASTER,JvPIDDRn3wEOh4XPakjKtMSYpc-tEQpaaUVuskPb_B8wK24Z,idiot top,279,270,238,False,False,True,False,MQ5UpBUO1AySxNmDO4lJWi4tMjQW2q-U2U-DHB7GjwbJPiEy5n1Jurbi
